3930480,Fuel-injection pump for an internal combustion engine,1/6/76," A fuel injection pump for an internal combustion engine wherein a plunger is mounted in a barrel for sliding axial movement and rotation about its own axis, and the barrel is formed therein with a suction port and an outlet port. A metering groove is formed in the plunger and maintained in communication with a top of the plunger through a bore formed in the plunger, so that a desired amount of metered fuel can be delivered to the engine according to the load applied to the engine by varying the area and the time at which the metering groove is brought into communication with the outlet port, thereby varying the amount of fuel outflow. A pulsation control chamber of a greater sectional area is formed in the fuel passageway between a discharge valve of the pump and a fuel valve so as to intensify and prolong the duration of throbs of a pulsating current of fuel moved through the pulsation control chamber as it is delivered by pumping. ","Yanmar Diesel Engine Co., Ltd.","Tadashi Yamada,Toshio Banba","31,278,413,620,640,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930481,Fuel injection system for internal combustion engines,1/6/76," A fuel injection system for an internal combustion engine in which the intake air flow is measured and a corresponding electrical signal is generated which governs a pressure control unit so as to modify the fluid pressure acting on a fuel-metering slide-valve piston, displacing it against restoring forces. The axial displacement of the slide-valve piston changes the flow aperture in adjacent metering slits and thus governs the rate of fuel flow to the injection valves of the internal combustion engine and maintains a desired fuel-air ratio. ",Robert Bosch G.m.b.H.,Konrad Eckert,"370,388,838,428,133,000,000,000,000,000,000,000,000,000"
3930482,Fuel injection piston and method of its manufacture,1/6/76," A piston for a fuel injection pump for use in internal combustion engines and its method of manufacture is described. The piston is reciprocated and rotated within a cylinder having a fuel supply opening. The piston has an upper control edge determining initiation of fuel injection and a lower control edge determining initiation of fuel injection and a lower control edge determining termination of fuel injection as the edges move past the fuel supply opening. In its improvement the piston is manufactured to provide a notch in its upper end surface which, at the intersection of the notch with the circumferential surface of the piston, forms at least two upper control sections serving at least as a part of the upper control edge. The two control edge sections have relatively different inclinations with respect to the upper end surface of the piston which effects the fuel injection. ","Nippondenso Co., Ltd.","Takuji Isomura,Tetsuji Akashi","19,666,942,356,511,200,000,000,000,000,000,000"
3930483,Apparatus for supplying fuel to a fuel-injected engine,1/6/76," Improved apparatus for supplying fuel to one or more fuel injectors used to inject fuel into a combustion engine. In the preferred form, each of the fuel injectors has its discharge port positioned in the engine intake manifold and a clamp retains the injector in position thereon. The clamp has a first portion that has a passage for receiving the inlet conduit to the fuel injector. Also, this portion of the clamp has inlet and outlet passages in communication with the passage receiving the injector inlet conduit so that fuel supplied to the inlet passage flows into the inlet conduit of the fuel injector and also flows out of the outlet passage. A second portion of the clamp is used for securing the clamp to the engine intake manifold. The fuel injector is located between the first portion of the clamp and the intake manifold. Flexible conduit may be used to connect the outlet passage of one clamp with the inlet passage to another clamp. A pressure regulator may be provided for regulating the pressure of the fuel flowing through the various clamps and flexible tubing. ",Ford Motor Company,"CharlesM. Blisko,Kazimieras Kizlauskas,RonaldT. Denton","37,838,442,893,365,300,000,000,000,000,000,000"
3930484,Liquid fuel pumping apparatus,1/6/76, A fuel injection pumping apparatus includes an injection pump to which fuel is supplied by means of an axially movable shuttle which is contained within a cylinder. Fuel is supplied to one end of the cylinder through a metering valve from a first source of fuel under pressure. The fuel contained in said one end of the cylinder is displaced to the injection pump by applying fuel under pressure to the other end of the cylinder containing the shuttle from a further source of fuel under pressure. The pressure of the further source of fuel is higher than that of the first mentioned source. ,C.A.V. Limited,RobertThomasJohn Skinner,"35,163,953,615,043,300,000,000,000,000,000,000"
3930485,Apparatus for mixing fuel and air for an internal combustion,1/6/76," Apparatus comprising a tubular housing connected to the suction pipe of a multi-cylinder internal combustion engine at one end and the intake manifold thereof at the other end, and a plurality of twisted blades positioned in the tubular housing along the axis thereof. The blades are adapted to impart a whirling motion to a mixture of fuel and air or of fuel, air and a recyclic portion of exhaust gas flowing through the tubular housing and reform it into a homogeneous mixture, without creating any appreciable resistance to the flow of the mixture. ",,Toshiaki Konomi,"36,333,422,384,681,200,000,000,000,000,000,000"
3930486,Convertible baseball and tennis practice machine,1/6/76," An improved compressed fluid ball projecting machine convertable for baseball and tennis practice. Improvements are in maneuverability, oscillation of the tennis barrel and immobility of the baseball barrel, remote control power for coaching options, replaceable and interchangeable barrels, variable timer speed control and a reliable hopper and feed system to enable firing of up to two hundred tennis balls unattended and without malfunction. Regarding the oscillation or lack of oscillation of the barrel, an actuator rod mounted on a rotatable disc causes such oscillation. When this rod is removed and the barrel clamped, this oscillation is eliminated. Concerning the variable timer control, such control is varied by two relatively movable rotatable notched discs. These dics contact a valve actuating mechanism and permit opening of a valve operated thereby only when the notches of the pair of discs are aligned and in contact with the valve actuating mechanism. ",,EdwardW. Kahelin,"36,402,633,602,208,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930487,Heat exchanger tube tool,1/6/76," Certain types of heat-exchangers have tubes opening through a tube sheet to a manifold having an access opening offset from alignment with the tube ends. A tool for inserting a device, such as for inspection or repair, is provided for use in such instances. The tool is formed by a flexible guide tube insertable through the access opening and having an inner end provided with a connector for connection with the opening of the tube in which the device is to be inserted, and an outer end which remains outside of the chamber, the guide tube having adequate length for this arrangement. A flexible transport hose for internally transporting the device slides inside of the guide tube. This hose is long enough to slide through the guide tube, into the heat-exchanger tube, and through the latter to the extent required for the use of the device. The guide tube must be bent to reach the end of the heat-exchanger tube and the latter may be constructed with a bend, the hose carrying anti-friction elements at interspaced locations along its length to make it possible for the hose to negotiate such bends while sliding to the location where the use of the device is required. ",Siemens Aktiengesellschaft,Georg Gugel,"31,695,763,248,515"
3930488,Heating panel for use in explosion-prone furnaces,1/6/76," A heating panel for use in explosion-prone furnaces comprises a heating element on the inner side thereof, and on the outer side of the heating element a series of spaced parallel sheets of aluminum foil which, in the case of an explosion, simply blow out and are easily replaceable. The panel is rectangular and bordered with insulating material and it is contemplated that a plurality of the panels can be assembled in side-by-side relationship. The heating element may be electrical or run on gas or oil. ",Licencia Talalmanyokat Ertekesito Vallalat,"Horst Hammecke,Janos Wallis","2963529,R24296,3197185"
3930489,Heating system,1/6/76," A system for utilizing furnace waste stack pipe heat which comprises elongating the waste stack pipe so that it defines a substantially rectangular shape and, when a blower is used in conjunction with the furnace, so that it extends over the blower in order that air drawn into the blower is preheated, the system further including placing a cover or hood over the elongated waste stack pipe and a baffle plate thereunder, each in close proximity thereto, for forcing the currents of air to move in close proximity to the hot waste stack pipe to readily absorb the heat therefrom. ",,FredA. Anable,"19,663,602,425,630,100,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930490,Fireplace heater,1/6/76," A heat exchange device installed in a fireplace without any modification thereto completely encircling the fire, sides, top, back and bottom but without having the heating tubes and ducts exposed to the destructive concentrated heat that occurs at the fire bed level of grate or andiron and including twin cold air ducts extending from front to rear of the fireplace at one lower corner thereof, twin hot air ducts extending from front to rear of the fireplace at the other lower corner thereof with the twin ducts interconnected by a plurality of heat exchange tubes which extend upwardly along the side walls of the fireplace and then horizontally in overlying relation to the fire in the fireplace an additional tubes extending horizontally across the bottom of the fireplace. A motor driven fan is provided in the bottom cold air duct to circulate air through the device. The twin ducts, having interconnecting apertures to the rear, include baffle arrangements to guide the flow of air through the heat exchange tubes for most efficient utilization of the heat from the fire in the fireplace. A forced draft device is incorporated into the cold air duct for selective discharge of air at the base of the fire in the fireplace to facilitate the initial burning of the fuel and to provide a forced draft for proper combustion of the fuel whenever desired. When the fire is first lit, the resulting flames hitting and passing in between and around the overhead heating tubes encircling the fire provide heat almost instantly and as the fire progressively burns, the entire length of the heating tubes, both overhead and encircling the fire on both sides and to the back, become heated providing a continuous expanded volume of hot air which is forced out into the room, away from the fireplace, this air is then circulated and again re-enters the cold air tubes by being forcibly drawn from the floor level and ejected as heated air on the opposite side of the fireplace. This results in an even room temperature, even at floor level. As the fire progressively burns, coals and ashes falling through the apertures in the conventional grate cover the heating tubes extending across the floor of the firepplace thereby extracting heat from this area of the fireplace which becomes heated last, but which also retains heat the longest, long after the fire itself has burned out. ",,"CarlO. Lassy,WilliamA. Lassy","73,738,213,130,852,000,000"
3930491,Combination fireplace and space heater,1/6/76," A conventional fireplace with a mantel, a hearth and a chimney has an air intake port and an air exhaust port disposed in the mantel. An air intake fan also disposed in the mantel is connected in series with copper pipe, and the fan is connected to the intake port while the remote end of the pipe feeds the exhaust port. The pipe is routed over the hearth and below the chimney. When a fire is lit in the fireplace, and the fan is turned on, the air passed through the pipe is heated by the fire and blown throughout the room. ",Raymond Lee Organization Inc.,RobertB. Miller,"15,717,412,359,197"
3930492,Air-noncontact type blood sampling assembly,1/6/76," An air-noncontact type blood sampling assembly has a blood sampling container consisting of a tubular body having at one end an elastomeric stopper sealed by a sealing member and opened at the other end and a columnar gasket having a plunger at the rear portion and slidable within said tubular body, and a cylindrical transparent holder having a piercing needle at the forward end adapted to have said sampling container inserted thereinto. Said blood sampling container is previously charged with a larger amount of blood anticoagulant than required. ","Jintan Terumo Company, Ltd.","Tooru Sekiguchi,Norio Hatsuno","2,745,403,375,343,220,000,000,000,000,000,000,000,000,000,000,000"
3930493,Intravascular liquid velocity sensing method using a polarographic electrode,1/6/76," The linear flow rate of a liquid containing dissolved oxygen, such as blood, can be determined by means of an electrode assembly having exposed to the liquid a relatively large polarographically active cathode and spaced therefrom a reference anode. With an applied energizing voltage of about 0.4-0.9 volts a current plateau is reached which is proportional to fluid flow rate. As the device is also sensitive to oxygen content, compensation can be measured by providing on the assembly an oxygen sensing membrane covered polarographic electrode pair of the Clark type. ",Cordis Corporation,DonaldE. Williamson,"324,272,934,509,841,000,000"
3930494,Method and apparatus for the indirect measurement of blood pressure,1/6/76, A method and apparatus for automatically detecting the blood pressure of a person by auscultation in which a standard blood pressure cuff is connected to a pressure transducer for providing a pressure signal and a microphone is used for providing an electrical signal from the Korotkoff sounds detected. The Korotkoff sound electrical signal is amplified and passed through a bandpass filter which has a flat response between approximately 50 and 160 Hz and a sharp cutoff below 50 Hz. The resultant signal is then summed with the pressure signal to provide an output which indicates the pressures at which the five phases associated with the Korotkoff sounds occur. ,General Electric Company,"RichardF. Vanderpool,JohnJ. Swana,AlanH. Maurer","345,013,133,183,033,000,000"
3930495,Invalid exercising device,1/6/76," A bicycle type of exercising device for paraplegic invalids comprising an elongated structure having one end adapted to rest upon the floor and its other end adapted to rest upon the end of a conventional bed. Handle bar means and seat support means are mounted upon the end resting upon the floor to provide a manual operator station. The latter end is also provided with a first bicycle sprocket which is operably connected by a link chain to a second sprocket operably connected to the other end of the elongated structure. The second sprocket means is provided with pedal means adapted to receive and retain the feet of a paraplegic who is horizontally disposed in the bed on which the present device is operably mounted whereby the invalid can pedal the present device alone, or preferably, his legs can be exercised by an operator pedaling at the other end provided with the manual station. A preferred embodiment further comprises an auxiliary electric power source operably connected to the link chain for actuating the present device in the absence of manual operation by an operator. An especially preferred embodiment is directed to an electric power driven only device having a supporting bicycle structure adapted for mounting solely upon the bedstead. ",,"Michael Marino, Jr.","18,203,723,572,699,300,000,000,000,000,000,000"
3930496,Cast for broken limbs and method,1/6/76," A cast for broken limbs and related method, the cast comprising a cylindrical, double wall sleeve fabricated of a thin polymeric or elastomeric material and containing a cylindrical batt of fiberglas or like reinforcement impregnated with a polymeric catalyst. The opposed ends of the cast are constructed so that the spaced sleeves are sealed one to another and also to the cylindrical batt of the fiberglas or the like, which is concentrically disposed within the cast intermediate the spaced sleeves. Spacers may be used to maintain said concentric relationship. The cast comprises a plurality of breather ports, the edges of which are sealed as are the ends of the cast. When it is desired to use the cast, a suitable polymeric material is injected through a filler port into the interior of the cast between the two spaced concentric sleeves. The physician manually kneads the resin within the cast causing the catalyst initially contained within the central reinforcement to become mixed into the polymer thereby initiating polymerization. The filling vessel is detached and the cast is placed upon the injured limb of the patient. A conventional wrapping, such as an elastic roll bandage, is placed on the cast to exert pressure causing the same to conform precisely to the exterior surface of the injured limb. The wrapping is removed once the resin has set and adequately cured. PAC BACKGROUND 1. Field of Invention The present invention relates broadly to the art of placing a cast on an injured limb and more particularly to a novel cast comprising a pair of concentric sleeves sealed at the ends and containing therebetween a cylindrical batt of reinforcement impregnated with a resin activating substance which initiates polymerization when comingled with a suitable polymer, and a related method. 2. Prior Art Heretofore, the use of a cast comprising plastic interior and exterior walls have most frequently utilized a polymeric foam in the interior between the sleeves. This has created a number of problems because it is difficult to control the foam and often the cast becomes a pressure-applying device rather than an instrument which restrains undesired movement of the limb. Also, such an approach prevents adequate breathing of the skin in the vicinity of the cast. As a consequence, the medical profession has used only to a limited extent such an approach. PAC BRIEF SUMMARY AND OBJECTS OF THE PRESENT INVENTION With the foregoing in mind, it is a primary object of the present invention to provide a novel cast for injured limbs and related methods. Another paramount object of the present invention is the provision of a novel cast wherein the cast comprises spaced concentric sleeves sealed one to the other at opposed ends and containing therein a cylindrical batt of reinforcement impregnated with a catalyst wherein a polymeric material is injected between the sleeves into contiguous relation with the reinforcement and is caused to be polymerized when mixed with the catalyst. It is a further object of the present invention to provide a novel cast comprising a plurality of breather holes intermediate spaced cylindrical walls of the cast. These and other objects and features of the present invention will be apparent from the following detailed description, taken with reference to the accompanying drawing(s). ",,DelamarJ. Gibbons,"36,318,543,643,656,300,000,000,000,000,000,000"
3930497,Surgical drape and system incorporating it,1/6/76," A drape for use in surgical procedures having a base sheet of a liquid-repellent material and including a generally U-shaped fenestration with a layer of adhesive surrounding the fenestration and providing for varying the dimensions of the fenestration. The adhesive is protected by a plurality of cover strips which permit the drape to be applied in a folded condition to the patient and unfolded with reduced danger of contamination. In a preferred embodiment the drape also includes a foam-film laminate layer on the top surface thereof around the fenestration for placement of instruments, increased protection against liquid strike-through, reduced glare, and controlled absorbency. In use, the drape of the invention may be combined with other drapes, and an application is described including a stocking and a bar sheet for complete protection in complicated procedures such as knee or hip surgery. An improved method of folding the drape of the invention for increased safety and convenience is also described. ",Kimberly-Clark Corporation,"KayE. Krebs,MarionT. Arps","36,691,063,030,957,300,000,000,000,000,000,000"
3930498,Anti-adherent medical dressings and the like,1/6/76," Anti-adherent material for coming into contact with the epidermis such as sheets, surgical dressings, various kinds of bandages and the like are disclosed which comprise a homopolymer or copolymer of tetrafluoroethylene containing at least about 50% tetrafluoroethylene deposited upon a support material which is resistant to the fritting temperature of the homopolymer or copolymer, the support material containing from about 25 to 90% homopolymer or copolymer and from 10 to 75% support material and possessing regularly disposed perforations for from about 0.1 to 10% of the surface thereof. ",Products Chimiques Ugine Kuhlmann,"Maurice Cessiecq,Andre Monnet","3,426,754,368,672,530,000,000,000,000"
3930499,Hypodermic syringe with parts disposable after use,1/6/76," A hypodermic syringe comprising a head, a rod slidingly mounted in the head and gripping elements fixed to the head and to the exterior free end of the rod. The gripping element fixed to the body is mounted on the latter adjustably in the longitudinal direction with respect to the gripping element fixed to the exterior end of the rod. ",Laboratoire S P A D,Henri Rimbaud,"311,030,938,206,523,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930500,Pharmaceutical single-dose container for the eye,1/6/76," A pharmaceutical single-dose container consisting essentially of an elongate flexible closure member extending through the wall of the container and sealed therein with part of said closure member extending outwardly of the container, said part being engageable by hand to permit the closure member to be pulled out of the container wall thereby to provide a discharge opening through which the contents of the container can be discharged. ",Boehringer Ingelheim GmbH,"Dieter Jarsen,Klaus Mohrke,Helmut Franz,Heinrich Eggert","143,848,720,443,272,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930501,Disposable diaper with end flap means and method,1/6/76," A disposable diaper having an absorbent pad, a fluid impervious backing sheet defining a back surface of the diaper, a front surface, and a plurality of longitudinally extending folds defining a box-pleat configuration of the diaper. An end flap of the box-pleat diaper is folded over the front surface of the diaper, and means is provided for retaining at least a portion of the front surface of the flap against the underlying front surface of the box-pleat diaper. ",Colgate-Palmolive Company,CharlesH. Schaar,"340,271,535,203,033,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930502,Disposable diaper with a tape closure system having a double-folded tab,1/6/76," A disposable diaper is provided with an improved adhesive tab having a relatively long free end. The tab comprises a fixed end secured to a diaper backing sheet on the outside surface of the diaper and at a marginal location thereof, and a free end having a tacky surface covered with a release strip which extends beyond the tacky surface. The release strip and the free end together form a creasable laminate which is folded back over the fixed tab end and further folded over on itself. ",Johnson & Johnson,Ludwig Tritsch,"38,400,133,875,621,300,000,000,000,000,000,000"
3930503,Disposable diaper with tab fastener means having an integral release surface,1/6/76," A disposable diaper having a moisture-impermeable backing sheet and an absorbent pad superposed on the backing sheet is provided with tab-type fasteners which do not require a release sheet for protecting adhesive surfaces thereof. Each fastener is secured to the backing sheet and comprises a pair of terminal portions and a flexible central segment which connects the terminal portions. One of the terminal portions is attached to the backing sheet and the other, free terminal portion is releasably attached to a release surface provided on the terminal portion which is attached to the backing sheet. The flexible central segment is longer than the free terminal portion and forms a finger-receiving loop when the free terminal portion is removably attached to the release surface. ",Johnson & Johnson,Ludwig Tritsch,"3,875,621,381,047,230,000,000,000,000"
3930504,Portable light coagulator,1/6/76," A light coagulator for treatment of eye disorders is provided, utilizing a converging light beam, a collimated lens system and a mirror to deliver a high powered beam of light to the eye for use as a surgical tool. The light coagulator of the invention is of simplified design and portable. ","Clinitex, Inc.",Hughes de Laforcade,"3,327,712,378,387,430,000,000,000,000,000,000,000,000,000,000,000"
3930505,Surgical apparatus for removal of tissue,1/6/76," Defective or unwanted tissue is removed such as from the lens of an eye by directing a pulsating high velocity liquid jet onto the defecting tissue to disintegrate the tissue and sucking the liquid entraining the disintegrated tissue from the area adjacent the tissue by a suction conduit. A control system is provided to insure the proper amount of suction. The control system also monitors the suction conduit and in response to a sudden change in pressure resulting from a clogging condition, the sucking action is reversed causing pressure to be forced through the conduit. Salt crystals can be added into the liquid stream of the pulsating liquid to improve the cutting action. ",Hydro Pulse Corporation,Mark Wallach,"381,285,535,893,633,000,000"
3930506,Disposable phlebotomist's tourniquet,1/6/76," A disposable phlebotomist's tourniquet comprising a flat solid, elastic band of a length sufficient, when stretched, to encircle the human upper arm and including adjacent one end a relatively non-stretchable pressure-sensitive adhesive strip protectively covered for storage by a protective liner of treated paper or the like having one end projecting beyond the end of the adhesive strip as a graspable pull tab so that the liner may be pulled away. ",,ThomasF. Overend,"308,652,927,030,833,000,000,000,000,000,000,000,000,000"
3930507,Adjustable oral airway,1/6/76," An adjustable oral airway comprising a superior section and inferior section joined at their inner ends by a hinge member, and slidably secured relative to each other at the mouthpiece end, as by a tongue and groove slidable joint. The superior and inferior sections may be spaced a greater or a lesser distance from each other by means of sliding the upper and lower sections of the mouthpiece to improve ease of insertion and removal and to expand or reduce the pharynx, lifting the epiglottis and improving the breathing ability of an unconscious patient. ",,RobertA. Berman,"30,573,473,419,004,300,000,000,000,000,000,000"
3930508,Wrapper absence detecting and control device for cigar machines,1/6/76," A pneumatic-electric, or a pneumatic sensing and control system is used in a cigar making machine to prevent a wrapper or binder paster from operating and a formed tobacco member from being delivered to the roller nest when a tobacco strip is not transferred to the carrier while permitting the machine to continue to run without interruption. ",AMF Incorporated,Frank Hollenton,"20,121,492,320,346,300,000,000,000,000,000,000,000,000"
3930509,Smokers pipe reamer,1/6/76," A smokers' pipe reamer comprises a hollow body, a forward portion of which has three longitudinally extending radial grooves and bearing slots, each extending radially from a respective one of the grooves to the interior. In each of the grooves a reamer blade is guided, this blade having a U-shaped appendage protruding into the interior. Three pins held in the forward portion of the body extend through the openings of respective ones of the appendages to permit radial and swiveling motion of the respective reamer blades. Radial movement of the blades may be adjusted by a pin having a conical tip adapted to bear against the radially innermost portions of the blade appendages. The pin is adjustable along the longitudinal axis of the reamer body by means of screw threads and a guiding slot, thereby limiting radially inward movement of the appendages and the blades while permitting the blades to swivel about each of the three pins. ",K. Zysset & Co. AG,Karl Zysset,"161,162,230,799,322,000,000"
3930510,Cigarette holder ring,1/6/76," A cigarette holder ring consisting of a resiliently contractible ring band operable to fit snugly on any portion of the wearer's finger, and a cigarette holding clip adapted normally to be folded extremely inconspicuously into the crown portion of the ring band, but to be extended therefrom to hold a cigarette, the clip being universally movably relative to the ring band to hold the cigarette in any position relative to his finger most suitable to any individual user. ",,PaulR. Johnston,"128,966,614,345,902,000,000,000,000,000,000,000,000,000"
3930511,Dual hair pin,1/6/76," A hair pin made from a continuous resilient band folded back on opposite sides forming a loop at each end to provide a pair of pincers having a common inner member, and disposed in substantially opposite directions. ",,JoeL. Roney,"269,979,031,942,482,000,000"
3930512,Coin sorting and counting apparatus,1/6/76," An improved coin sorting and counting apparatus is disclosed. A rotary hopper feeds the coins one at a time to a downwardly inclined track assembly wherein sensing means detect the presence and determine the denomination of the coins as they move therepast. A signal is generated which is proportional to the denomination of each coin and then the signals are totaled. The foregoing Abstract is neither intended to define the invention of the Application which, of course, is measured by the claims, nor is it intended to be limiting as to the scope of the invention in any way. ",,JackH. Woodland,"304,825,130,865,363,000,000"
3930513,Spray-cleaning apparatus,1/6/76," The apparatus serves to clean surfaces of articles by spraying a liquid cleaning fluid on said articles. A support is provided for carrying an article to be cleaned, also a nozzle system for spraying said cleaning fluid, and mechanism for moving said support and nozzle system relative to each other. The nozzle system comprises an upright nozzle tube disposed laterally of the support and above the same, an upper horizontal nozzle tube extending over the support, and a lower horizontal nozzle tube extending under the support. Each of said upright, upper and lower nozzle tubes have nozzles which are arranged in a longitudinal row and directed toward said support. Said upright and upper nozzle tubes and said support define a cleaning zone between them. Said nozzle system comprises an additional nozzle tube extending into said cleaning zone and having at least one longitudinal row of nozzles which extend laterally from the axis of said additional nozzle tube. ",,"PiusJohann Buchegger,Pius Buchegger","32,429,343,452,763,100,000,000,000,000,000,000"
3930514,Wind resistant umbrella,1/6/76," A conventional umbrella has three hooks mounted upon each of its downwardly extending ribs. The first hook is located at the bottom of the rib. The second hook is located at the connection point of the rib and one of the elongated struts used to open and close the umbrella. The third hook is located on the same rib intermediate the first and second hooks. A flexible cable is attached to the first hook, passes or extends through the second and third hooks and is then attached to the center pole of the umbrella. ",Raymond Lee Organization Inc.,DeanT.S. Wu,"55,957,716,196,277,300,000,000,000,000,000"
3930515,Pneumatic control system and valve construction therefor or the like,1/6/76," A pneumatic control system having a source of pneumatic fluid and a pneumatically operated device to be operated by the source when interconnected thereto by a valve construction when the same is in one operating condition thereof. The valve construction interconnects the atmosphere to the device when in another operating condition thereof. The valve construction has a housing provided with a chamber and three spaced ports leading to the chamber, one of the ports being interconnected to the source of fluid, another of the ports being interconnected to the device and the remaining port being interconnected to the atmosphere. A valve seat separates the one port from the other port and the remaining port. A movable valve member controls the valve seat, the valve member closing the valve seat when the valve construction is in the other condition thereof and opening the valve seat when the valve construction is in the one condition thereof. A pneumatically operated actuator moves the valve member relative to the valve seat, the actuator being controlled by the source of fluid through the one port of the housing. ",Robertshaw Controls Company,"BillyEdward Kennedy,BoydPaul Sliger","37,046,972,474,772,300,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930516,Ballcock assembly,1/6/76, A ballcock assembly in which a sheath extends upwardly through the fluid within a reservoir tank to support a valve mechanism above the normal level to which fluid will rise in the reservoir tank. An inlet tube which connects a fluid supply line to the valve mechanism extends through the sheath and is wholly isolated from the fluid within the reservoir tank by the sheath. The outermost lateral dimension of the inlet tube and the innermost lateral dimension of the sheath are such that the inlet tube is completely circumscribed by an air space comprising a passageway that extends the full axial extent of the inlet tube between its effective connection to the valve mechanism and its effective connection to a fluid supply line. The passageway is required to communicate with atmosphere at a level beneath the fluid in the reservoir tank and may also communicate with atmosphere at a level above the normal level to which fluid will rise within the reservoir tank. ,Mansfield Sanitary Inc.,"VaughnD. Flinner,DanaD. Zody","341,400,533,324,333,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930517,Safety valve,1/6/76," A high pressure gas tank safety and service valve which comprises a body portion that sealingly engages a threaded opening of a high pressure gas tank. The valve has a flow passage that communicates the interior of the gas tank to an outlet port of the safety and service valve; the flow passage including first and second axially spaced valve seats which are, respectfully, engageable by first and second valve members interconnected by a safety rod. The first valve member is operable to open and close communications between the interior of the high pressure gas tank and the outlet port of the valve to permit selected exhausting of the gas tank. The second valve member is normally bias toward engagement with the second valve seat and in the event of a fracture resulting in the escape of gas, the second valve member will automatically close communications from the tanks. A third valve seat disposed between the interior of the tank and the second valve member is engagable by a third valve operable to close communication with the interior of the tank when the pressure therein drops to a predetermined minimum valve. The third valve member carries a valve element which facilitates repressurization of the tank while the third valve member is engaged with its associated valve seat. ",,JeromeW. Gagala,"37,013,631,698,616,200,000,000,000,000,000,000"
3930518,Valves,1/6/76, In a fluid system a valve is provided with a valve closing system and this system is operated by differential switch means which detect abnormal flow conditions through the valve. The valve is tapped preferably at two locations and each location is connected to a differential pressure switch which in turn operate the valve closing system. ,"Hopkinsons, Ltd.","JohnAlfred Fuller,Edwin Smith","3,765,444,262,353,920,000,000,000,000"
3930519,Pressure regulator,1/6/76," A fluid flow regulator including upstream and downstream members to secure pierced diaphragm in fluid tight engagement therebetween, a valve stem and seat repectively disposed on the diaphragm and upstream member, an O-ring enclosed therein and, a shoulder on the valve stem for engagement with the O-ring to form a fluid tight seal. The diaphragm is disposed for flexure to compress the O-ring for engagement of the stem and seat to discontinue fluid flow responsive to a predetermined value of downstream fluid pressure. ",The United States of America as represented by the Secretary of the Army,JoeL. Byrd,3372707
3930520,Control valve,1/6/76, A control valve controls fluid to and from a motor or the like from a rotary shaft and it includes a pair of stationary valve members facing each other and having facing annular channels therein. The annular channel of one of said stationary valve members communicates with a motor passage leading to the motor. The annular channel of the other stationary valve member communicates with a source passage leading to the fluid source and with a vent passage leading to atmosphere. A pair of plugs secured in this latter annular channel provides an arcuate source channel and an arcuate vent channel. A rotatable valve disc driven by the rotary shaft and arranged between the stationary valve members has a port therethrough which alternately communicates the annular motor channel in said one stationary valve member with the arcuate source channel and the arcuate vent channel in the other stationary valve member for controlling the fluid to and from the motor or the like. The rotatable valve disc preferably includes a pair of discs and intermediate resiliently compressible means. The control valve also preferably includes a housing for receiving the stationary valve members and the rotatable valve disc. Lubricating means are also provided for lubricating the running contact between the rotatable valve disc and the stationary valve members. ,,Eugene Whitaker,"360,886,635,244,723,000,000"
3930521,Gas charging valve for accumulator,1/6/76," This invention relates to the art of pressure vessels and more particularly to a valve assembly for use in a pressure vessel of the type having a rigid container with a deformable bladder therein, dividing the container into two variable volume chambers, one adapted to receive gas under pressure and the other to receive liquid under pressure. The valve assembly which is screwed into a port in communication with the gas chamber includes a slidably mounted stem having a resilient valve member at one end normally urged to seat on the beveled inner end of an axial bore in the valve assembly in a first seating position of the valve member, and urged further into said beveled inner end when the bladder is charged with gas under pressure in a second seating position of the valve member. The inward movement of the valve member is limited by a stop carried by the stem. When the liquid chamber is charged, if the bladder should abut against the resilient valve member, no extrusion of the bladder would occur. ","Greer Hydraulics, Inc.",Abduz Zahid,"346,578,630,827,933,000,000"
3930522,Structural ceramic article and method of making same,1/6/76," Sintered ceramic articles having a high surface area-to-weight ratio and containing a plurality of ducts that extend through the article to permit fluid flow therethrough are prepared by forming an extrudable admixture of pulverized ceramic material. The admixture is forced through a forming zone in which initial shearing forces form the admixture into a plurality of discrete ribbons, and the discrete ribbons are flowed into the upstream ends of a plurality of spaced, longitudinally-extending members to form a web member containing a plurality of longitudinally-extending ducts as the ribbons flow together about the members. Monolithic ceramic structures formed by the above-described process and including hexagonally-packed circular ducts, that is, circular ducts surrounded by six other circular ducts with each surrounding duct spaced an approximately equal distance from the axis of the circular duct it surrounds, exhibit a desirably high ratio of transverse compressive strength to longitudinal compressive strength. ",General Refractories Company,CharlesLamar Turner,"36,417,633,799,796,300,000,000,000,000,000,000,000,000,000,000,000,000,000"
